segment_id,start_time,end_time,duration,speaker_id,gender,gender_confidence,pitch_mean,energy_mean
0,0.0,9.5725,9.5725,UNKNOWN,BELIRSIZ,0.1,232.9,0.078
1,9.5725,19.145,9.5725,UNKNOWN,BELIRSIZ,0.1,233.1,0.081
2,19.145,28.7175,9.572500000000002,UNKNOWN,KADIN,0.63,225.2,0.073
3,28.7175,38.29,9.572499999999998,UNKNOWN,BELIRSIZ,0.1,209.3,0.058
4,38.29,47.8625,9.572499999999998,UNKNOWN,BELIRSIZ,0.1,209.3,0.06
5,47.8625,57.434999999999995,9.572499999999998,UNKNOWN,BELIRSIZ,0.1,147.4,0.072
6,57.435,67.00750000000001,9.572500000000005,UNKNOWN,BELIRSIZ,0.1,240.2,0.057
7,67.0075,76.58,9.572500000000005,UNKNOWN,BELIRSIZ,0.1,286.5,0.053
8,77.74,79.15,1.4100000000000108,UNKNOWN,KADIN,0.6,177.5,0.065
9,79.78,81.44,1.6599999999999966,UNKNOWN,BELIRSIZ,0.1,0.0,0.049
10,82.29,88.23,5.939999999999998,UNKNOWN,KADIN,0.6,171.5,0.059
11,88.8,89.92,1.1200000000000045,UNKNOWN,KADIN,0.63,239.5,0.089
12,90.61,92.11,1.5,UNKNOWN,BELIRSIZ,0.1,0.0,0.06
13,92.78,94.95,2.1700000000000017,UNKNOWN,KADIN,0.6,332.5,0.05
14,96.25,105.945,9.694999999999993,UNKNOWN,KADIN,0.63,241.2,0.077
15,105.945,115.63999999999999,9.694999999999993,UNKNOWN,BELIRSIZ,0.1,275.9,0.068
16,115.64,125.33500000000001,9.695000000000007,UNKNOWN,KADIN,0.63,225.8,0.057
17,125.33500000000001,135.03,9.694999999999993,UNKNOWN,BELIRSIZ,0.1,306.6,0.074
18,135.58,140.61,5.030000000000001,UNKNOWN,BELIRSIZ,0.1,216.3,0.113
19,140.61,145.64,5.029999999999973,UNKNOWN,BELIRSIZ,0.1,259.2,0.097
20,146.56,152.57999999999998,6.019999999999982,UNKNOWN,BELIRSIZ,0.1,262.3,0.101
21,152.57999999999998,158.59999999999997,6.019999999999982,UNKNOWN,BELIRSIZ,0.1,293.2,0.121
