segment_id,start_time,end_time,duration,speaker_id,pitch_mean,energy_mean
0,0.0,9.57,9.57,SPK_02,223.1,0.078
1,9.57,19.14,9.57,SPK_02,256.9,0.081
2,19.14,28.72,9.57,SPK_02,236.9,0.073
3,28.72,38.29,9.57,SPK_02,232.8,0.058
4,38.29,47.86,9.57,SPK_02,219.5,0.06
5,47.86,57.43,9.57,SPK_02,151.3,0.072
6,57.44,67.01,9.57,SPK_02,241.5,0.057
7,67.01,76.58,9.57,SPK_02,266.4,0.053
8,77.74,79.15,1.41,SPK_01,0.0,0.065
9,79.78,81.44,1.66,SPK_01,98.5,0.049
10,82.29,88.23,5.94,SPK_02,177.6,0.059
11,88.8,89.92,1.12,SPK_03,221.3,0.089
12,90.61,92.11,1.5,SPK_01,138.8,0.06
13,92.78,94.95,2.17,SPK_04,332.4,0.05
14,96.25,105.94,9.69,SPK_02,230.6,0.077
15,105.94,115.64,9.69,SPK_02,240.4,0.068
16,115.64,125.34,9.7,SPK_02,215.0,0.057
17,125.34,135.03,9.69,SPK_02,244.8,0.074
18,135.58,140.61,5.03,SPK_03,247.9,0.113
19,140.61,145.64,5.03,SPK_02,237.0,0.097
20,146.56,152.58,6.02,SPK_03,254.1,0.101
21,152.58,158.6,6.02,SPK_03,265.2,0.121
